QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,COUNTRY,DEALSIZE
44,134.64,5924.16,23/10/2018,Sweden,Medium
24,145.52,3492.48,8/11/2018,France,Medium
26,148.24,3854.24,14/11/2018,UK,Medium
45,118.32,5324.4,26/11/2018,Spain,Medium
49,122.4,5997.6,19/02/2019,USA,Medium
20,145.52,2910.4,7/5/2019,USA,Small
27,125.12,3378.24,17/06/2019,Canada,Medium
30,116.96,3508.8,21/07/2019,Belgium,Medium
25,119.68,2992,20/08/2019,Canada,Small
24,142.8,3427.2,10/9/2019,USA,Medium
22,122.4,2692.8,14/10/2019,USA,Small
33,125.12,4128.96,1/11/2019,UK,Medium
47,64.93,3051.71,5/11/2019,Norway,
25,48.05,1201.25,21/11/2019,USA,Small
26,75.47,1962.22,2/12/2019,,Small
48,54.68,2624.64,15/12/2019,France,Small
39,103.75,4046.25,31/01/2020,Finland,Medium
32,105.33,3370.56,17/03/2020,France,Medium
64,150.96,9661.44,1/4/2020,USA,Large
19,145.52,2764.88,6/5/2020,USA,Small
42,128.53,5398.26,29/01/2018,Norway,Medium
31,138.88,4305.28,1/4/2018,France,Medium
22,152.17,3347.74,28/05/2018,Spain,Medium
26,122.62,3188.12,24/07/2018,USA,Medium
20,159.56,3191.2,19/09/2018,Singapore,Medium
21,168.42,3536.82,21/10/2018,Austria,Medium
33,162.51,5362.83,6/11/2018,,Medium
28,122.62,3433.36,13/11/2018,USA,Medium
26,163.99,4263.74,25/11/2018,France,Medium
31,131.49,4076.19,9/12/2018,USA,Medium
48,146.26,7020.48,4/2/2019,Singapore,Large
50,128.53,6426.5,11/3/2019,USA,Medium
28,163.99,4591.72,4/5/2019,USA,Medium
26,155.13,4033.38,15/06/2019,Singapore,Medium
32,134.44,4302.08,19/07/2019,Australia,Medium
44,159.56,7020.64,19/08/2019,USA,Large
30,128.53,3855.9,8/9/2019,Sweden,Medium
38,175.81,6680.78,13/10/2019,USA,Medium
40,166.95,6678,22/10/2019,Canada,Medium
46,61.99,2851.54,4/11/2019,USA,Small
26,122.62,3188.12,19/11/2019,Sweden,Medium
27,164,4428,29/11/2019,Australia,Medium
43,134.44,5780.92,10/12/2019,USA,Medium
35,65.63,2297.05,20/01/2020,Australia,Small
37,46.9,1735.3,9/3/2020,Australia,
27,163.99,4427.73,1/5/2020,Canada,Medium
38,155.13,5894.94,31/05/2020,France,Medium
33,159.55,5265.15,3/3/2018,Philippines,Medium
42,180.95,7599.9,8/5/2018,France,Large
42,190.68,8008.56,2/7/2018,USA,Large
48,192.62,9245.76,5/9/2018,,Large
30,167.33,5019.9,4/11/2018,Australia,Medium
27,200.41,5411.07,,Norway,Medium
21,182.9,3840.9,20/11/2018,Germany,Medium
20,196.52,3930.4,2/12/2018,Spain,Medium
41,182.9,7498.9,15/01/2019,France,Large
27,167.33,4517.91,22/02/2019,Switzerland,Medium
28,206.24,5774.72,9/4/2019,Denmark,Medium
24,163.44,3922.56,1/6/2019,UK,Medium
44,208.19,9160.36,6/7/2019,Italy,Large
50,192.62,9631,2/8/2019,USA,Large
21,163.44,3432.24,30/08/2019,,Medium
33,167.33,5521.89,4/10/2018,Germany,
33,210.14,6934.62,16/10/2019,Germany,Medium
31,221.81,6876.11,3/11/2019,Sweden,Medium
41,71.47,2930.27,15/11/2019,USA,Small
45,79.65,3584.25,24/11/2019,Austria,Medium
33,85.39,2817.87,6/1/2020,Finland,Small
45,76,3420,3/2/2020,France,Medium
26,99.04,2575.04,3/3/2020,Sweden,Small
12,,1961.28,17/05/2020,Austria,Small
41,211.96,8690.36,11/2/2018,Denmark,Large
33,182.86,6034.38,16/04/2018,Singapore,Medium
46,245.2,11279.2,3/6/2018,USA,Large
33,243.13,8023.29,8/8/2018,USA,Large
20,245.2,4904,28/09/2018,Spain,Medium
44,195.33,8594.52,22/10/2018,Singapore,Large
33,226.5,7474.5,6/11/2018,Italy,Large
21,184.94,3883.74,14/11/2018,USA,
47,189.1,8887.7,26/11/2018,USA,Large
46,187.02,8602.92,2/1/2019,France,Large
32,224.42,7181.44,12/2/2019,Ireland,Large
42,199.49,8378.58,19/03/2019,Spain,Large
44,241.05,10606.2,5/5/2019,Finland,Large
35,166.24,5818.4,20/07/2019,USA,Medium
41,172.47,7071.27,20/08/2019,USA,Large
46,182.86,8411.56,9/9/2019,Italy,Large
31,211.96,6570.76,14/10/2019,,Medium
38,209.88,7975.44,22/10/2019,Denmark,Large
42,64,2688,5/11/2019,Norway,Small
33,57.22,1888.26,20/11/2019,France,Small
48,52.36,2513.28,1/11/2019,Spain,Small
42,113.44,4764.48,15/12/2019,France,Medium
32,111.27,3560.64,23/01/2020,USA,Medium
34,112.46,3823.64,17/02/2020,USA,Medium
33,69.12,2280.96,17/03/2020,France,Small
36,241.05,8677.8,5/5/2020,USA,Large
27,125.74,3394.98,29/01/2018,Norway,
21,162.64,,26/03/2018,USA,Medium
21,116.17,2439.57,28/05/2018,Spain,Small
38,127.1,4829.8,24/07/2018,USA,Medium
30,136.67,4100.1,19/09/2018,Singapore,Medium
49,133.94,6563.06,21/10/2018,Austria,Medium
43,158.54,6817.22,6/11/2018,Australia,Medium
41,150.34,6163.94,13/11/2018,USA,Medium
38,129.84,4933.92,25/11/2018,France,Medium
28,144.87,4056.36,5/12/2018,Canada,Medium
43,133.94,5759.42,2/2/2019,France,Medium
25,138.04,3451,11/3/2019,,Medium
38,155.8,5920.4,4/5/2019,USA,Medium
41,162.64,6668.24,15/06/2019,Japan,Medium
28,146.24,4094.72,19/07/2019,Australia,Medium
25,117.54,2938.5,19/08/2019,USA,Small
41,155.8,6387.8,8/9/2019,,Medium
39,164,6396,11/10/2019,France,Medium
21,127.1,2669.1,22/10/2019,Canada,Small
27,177.19,4784.13,4/11/2019,USA,Medium
29,123.67,3586.43,29/11/2019,Australia,Medium
49,121.64,5960.36,10/12/2019,USA,Medium
49,172.86,8470.14,20/01/2020,Australia,Large
39,63.2,2464.8,9/3/2020,Australia,Small
40,155.8,6232,1/5/2020,Canada,Medium
49,162.64,7969.36,31/05/2020,Spain,Large
21,144.6,3036.6,24/02/2018,USA,Medium
50,165.68,8284,7/5/2018,France,Large
20,135.56,2711.2,1/7/2018,France,
49,170.2,8339.8,25/08/2018,USA,Large
35,132.55,,4/11/2018,Australia,Medium
40,168.69,6747.6,11/11/2018,France,Medium
28,161.16,4512.48,18/11/2018,USA,Medium
36,132.55,4771.8,15/01/2019,,Medium
43,141.58,6087.94,21/02/2019,France,Medium
32,131.04,4193.28,5/4/2019,USA,Medium
46,164.18,7552.28,18/05/2019,USA,Large
48,134.05,6434.4,28/06/2019,USA,Medium
43,120.5,5181.5,2/8/2019,USA,Medium
49,140.08,6863.92,27/08/2019,USA,Medium
24,173.21,4157.04,30/09/2019,Finland,Medium
26,179.24,4660.24,15/10/2019,Norway,Medium
30,137.06,4111.8,3/11/2019,USA,Medium
24,147.61,3542.64,15/11/2019,USA,Medium
55,147.61,8118.55,24/11/2019,Austria,Large
22,176.23,3877.06,5/1/2020,USA,Medium
49,78.92,3867.08,3/2/2020,France,Medium
44,135.26,5951.44,3/3/2020,USA,Medium
66,131.04,8648.64,8/4/2020,UK,Large
21,164.18,3447.78,13/05/2020,,Medium
34,175.25,5958.5,31/01/2018,Spain,
43,137.48,5911.64,16/04/2018,Singapore,Medium
46,160.14,7366.44,3/6/2018,USA,Large
33,151.08,4985.64,8/8/2018,USA,Medium
42,128.42,5393.64,28/09/2018,Spain,Medium
34,143.53,4880.02,22/10/2018,Singapore,Medium
47,178.27,8378.69,6/11/2018,Italy,Large
33,,4038.21,14/11/2018,USA,Medium
24,158.63,3807.12,26/11/2018,USA,Medium
26,120.86,3142.36,2/1/2019,France,Medium
30,157.12,4713.6,12/2/2019,Ireland,Medium
43,163.17,7016.31,15/03/2019,Germany,Large
25,175.25,4381.25,5/5/2019,Finland,Medium
27,158.63,4283.01,20/07/2019,USA,Medium
27,161.66,4364.82,20/08/2019,USA,Medium
24,176.76,4242.24,9/9/2019,Italy,Medium
34,146.55,4982.7,14/10/2019,UK,Medium
46,138.99,6393.54,22/10/2019,Denmark,Medium
27,54.33,1466.91,5/11/2019,USA,Small
33,123.01,4059.33,20/11/2019,France,Medium
47,102.16,4801.52,1/11/2019,Spain,Medium
49,55.34,2711.66,10/12/2019,Spain,Small
40,146.55,5862,26/01/2020,Japan,Medium
37,110.05,4071.85,17/02/2020,USA,Medium
47,175.25,8236.75,5/5/2020,USA,Large
45,136.23,6130.35,3/3/2018,Philippines,Medium
37,99.82,3693.34,8/5/2018,France,Medium
48,125.66,6031.68,2/7/2018,USA,Medium
31,112.74,3494.94,5/9/2018,USA,Medium
47,116.27,5464.69,4/11/2018,Austria,Medium
28,102.17,2860.76,12/11/2018,Norway,Small
40,139.75,5590,20/11/2018,Germany,Medium
20,112.74,2254.8,2/12/2018,Spain,Small
39,126.84,4946.76,16/01/2019,Spain,Medium
25,99.82,2495.5,22/02/2019,Switzerland,Small
29,109.22,3167.38,9/4/2019,Denmark,Medium
22,109.22,2402.84,1/6/2019,UK,Small
22,111.57,2454.54,6/7/2019,Italy,Small
47,116.27,5464.69,2/8/2019,USA,Medium
45,105.7,4756.5,30/08/2019,Switzerland,Medium
29,137.4,3984.6,4/10/2018,Germany,Medium
24,129.18,3100.32,16/10/2019,Germany,Medium
35,138.58,4850.3,3/11/2019,Sweden,Medium
46,83.63,3846.98,15/11/2019,USA,Medium
44,95.93,4220.92,24/11/2019,Austria,Medium
34,96.73,3288.82,6/1/2020,Finland,Medium
35,113.92,3987.2,8/2/2020,USA,Medium
25,72.38,1809.5,3/3/2020,Sweden,Small
10,109.22,1092.2,17/05/2020,Austria,Small
29,157.45,4566.05,11/2/2018,Denmark,Medium
39,152.26,5938.14,16/04/2018,Singapore,Medium
42,193.78,8138.76,3/6/2018,USA,Large
46,205.89,9470.94,8/8/2018,USA,Large
49,143.61,7036.89,28/09/2018,Spain,Large
27,205.89,5559.03,22/10/2018,Singapore,Medium
50,157.45,7872.5,6/11/2018,Italy,Large
43,183.4,7886.2,14/11/2018,USA,Large
38,190.32,7232.16,26/11/2018,USA,Large
20,155.72,3114.4,2/1/2019,France,Medium
27,186.86,5045.22,12/2/2019,Ireland,Medium
49,141.88,6952.12,19/03/2019,Spain,Medium
27,153.99,4157.73,5/5/2019,Finland,Medium
39,204.16,7962.24,20/07/2019,USA,Large
24,157.45,3778.8,20/08/2019,USA,Medium
45,183.4,8253,9/9/2019,Italy,Large
20,181.67,3633.4,14/10/2019,UK,Medium
36,192.05,6913.8,22/10/2019,Denmark,Medium
24,107.65,2583.6,5/11/2019,Norway,Small
49,63.38,3105.62,20/11/2019,France,Medium
26,169.56,4408.56,1/12/2019,USA,Medium
49,62.09,3042.41,15/12/2019,France,Medium
34,174.75,5941.5,26/01/2020,,Medium
34,95.35,3241.9,17/02/2020,USA,Medium
33,185.13,6109.29,23/03/2020,USA,Medium
22,153.99,3387.78,5/5/2020,USA,Medium
39,89.38,3485.82,3/3/2018,Philippines,Medium
32,63.84,2042.88,8/5/2018,France,Small
24,75.01,1800.24,2/7/2018,USA,Small
21,63.84,1340.64,5/9/2018,USA,Small
36,63.84,2298.24,4/11/2018,Australia,Small
20,81.4,1628,12/11/2018,Norway,Small
30,64.64,1939.2,20/11/2018,Germany,Small
44,82.99,3651.56,2/12/2018,Spain,Medium
28,92.57,2591.96,15/01/2019,France,Small
37,77.41,2864.17,22/02/2019,Switzerland,Small
20,74.21,1484.2,9/4/2019,Denmark,Small
25,90.17,2254.25,1/6/2019,UK,Small
35,76.61,2681.35,6/7/2019,Italy,Small
38,83.79,3184.02,2/8/2019,USA,Medium
41,69.43,2846.63,30/08/2019,Switzerland,Small
22,76.61,1685.42,4/10/2018,Germany,Small
49,81.4,3988.6,16/10/2019,Germany,Medium
38,73.42,2789.96,3/11/2019,Sweden,Small
33,109.32,3607.56,15/11/2019,USA,Medium
36,93.56,3368.16,24/11/2019,Austria,Medium
34,81.62,2775.08,6/1/2020,Finland,Small
24,67.83,1627.92,9/2/2020,Finland,Small
36,70.26,2529.36,3/3/2020,Sweden,Small
34,90.17,3065.78,17/05/2020,Austria,Medium
41,112.58,4615.78,31/01/2018,Spain,Medium
46,124.43,5723.78,4/4/2018,USA,Medium
24,106.65,2559.6,3/6/2018,USA,Small
21,101.91,2140.11,1/8/2018,Finland,Small
24,138.65,3327.6,21/09/2018,Finland,Medium
48,142.2,6825.6,22/10/2018,Singapore,Medium
26,136.28,3543.28,6/11/2018,UK,Medium
37,122.06,4516.22,14/11/2018,Spain,Medium
49,131.54,6445.46,25/11/2018,USA,Medium
34,99.54,3384.36,9/12/2018,USA,Medium
48,101.91,4891.68,10/2/2019,USA,Medium
36,125.61,4521.96,11/3/2019,USA,Medium
46,110.21,5069.66,5/5/2019,Spain,Medium
46,142.2,6541.2,15/06/2019,Singapore,Medium
31,97.17,3012.27,20/07/2019,USA,Medium
41,127.98,5247.18,19/08/2019,USA,Medium
21,105.47,2214.87,8/9/2019,USA,Small
38,125.61,4773.18,13/10/2019,USA,Medium
45,137.46,6185.7,22/10/2019,Denmark,Medium
26,58.38,1517.88,5/11/2019,USA,Small
38,167.7,6372.6,20/11/2019,France,Medium
48,109.02,5232.96,1/12/2019,USA,Medium
42,64.16,2694.72,10/12/2019,Spain,Small
49,35.71,1749.79,23/01/2020,USA,Small
32,66.58,2130.56,17/02/2020,USA,Small
54,110.21,5951.34,3/5/2020,Spain,Medium
33,142.2,4692.6,31/05/2020,France,Medium
36,103.64,3731.04,3/3/2018,Philippines,Medium
20,107.1,2142,8/5/2018,France,Small
29,97.89,2838.81,2/7/2018,USA,Small
33,97.89,3230.37,5/9/2018,USA,Medium
41,107.1,4391.1,4/11/2018,Austria,Medium
36,124.37,4477.32,12/11/2018,Norway,Medium
27,131.28,3544.56,20/11/2018,USA,Medium
47,110.55,5195.85,2/12/2018,Spain,Medium
,126.68,4180.44,16/01/2019,Spain,Medium
21,127.83,2684.43,22/02/2019,Switzerland,Small
21,93.28,1958.88,12/4/2019,Finland,Small
41,119.77,4910.57,1/6/2019,UK,Medium
40,111.71,4468.4,6/7/2019,Italy,Medium
28,111.71,3127.88,4/8/2019,Singapore,Medium
23,116.31,2675.13,30/08/2019,Switzerland,Small
23,122.07,2807.61,4/10/2018,Germany,Small
25,100.19,2504.75,16/10/2019,Germany,Small
24,124.37,2984.88,4/11/2019,USA,Small
39,64.74,2524.86,15/11/2019,USA,Small
55,75.2,4136,24/11/2019,Austria,Medium
46,88.45,4068.7,6/1/2020,Finland,Medium
50,103.64,5182,9/2/2020,Finland,Medium
47,111.57,5243.79,3/3/2020,Sweden,Medium
97,93.28,9048.16,14/04/2020,France,Large
32,119.77,3832.64,17/05/2020,Austria,Medium
35,112,3920,29/01/2018,Norway,Medium
49,100.34,4916.66,26/03/2018,USA,Medium
38,101.5,3857,28/05/2018,,Medium
32,130.67,4181.44,24/07/2018,USA,Medium
34,136.5,4641,19/09/2018,Singapore,Medium
36,99.17,3570.12,21/10/2018,Austria,Medium
48,93.34,4480.32,6/11/2018,Australia,Medium
21,96.84,2033.64,13/11/2018,USA,Small
21,93.34,1960.14,25/11/2018,France,Small
34,116.67,3966.78,5/12/2018,Canada,Medium
46,112,5152,29/01/2019,USA,Medium
32,105,3360,10/3/2019,USA,Medium
29,119,3451,4/5/2019,USA,Medium
41,,5453,15/06/2019,Japan,Medium
43,96.84,4164.12,19/07/2019,Australia,Medium
24,116.67,2800.08,17/08/2019,Italy,Small
41,114.34,4687.94,8/9/2019,Sweden,Medium
46,98,4508,11/10/2019,France,Medium
32,130.67,4181.44,21/10/2019,USA,Medium
22,102.32,2251.04,4/11/2019,USA,Small
42,49.6,2083.2,29/11/2019,Australia,Small
39,98,3822,10/12/2019,USA,Medium
27,144.87,3911.49,20/01/2020,Australia,Medium
29,85.1,2467.9,9/3/2020,Australia,Small
27,119,3213,1/5/2020,Canada,Medium
54,133,7182,31/05/2020,Spain,Large
26,168.43,4379.18,10/3/2018,USA,Medium
34,147.2,5004.8,8/5/2018,France,Medium
25,145.79,3644.75,4/7/2018,France,Medium
23,,2702.04,11/9/2018,Australia,Small
28,134.46,3764.88,17/10/2018,Denmark,Medium
35,128.8,4508,5/11/2018,Canada,Medium
44,123.14,5418.16,12/11/2018,Norway,Medium
22,150.03,3300.66,20/11/2018,USA,Medium
42,147.2,6182.4,2/12/2018,USA,Medium
29,144.37,4186.73,16/01/2019,Spain,Medium
32,141.54,4529.28,22/02/2019,Switzerland,Medium
41,137.29,5628.89,13/04/2019,Japan,Medium
26,117.48,3054.48,1/6/2019,UK,Medium
21,120.31,2526.51,6/7/2019,Italy,Small
34,137.29,4667.86,6/8/2019,USA,Medium
41,158.52,6499.32,30/08/2019,Switzerland,Medium
37,159.94,5917.78,5/10/2018,Norway,Medium
37,168.43,6231.91,16/10/2019,Germany,Medium
41,141.54,5803.14,4/11/2019,USA,Medium
46,139.87,6434.02,17/11/2019,USA,Medium
40,161.36,6454.4,24/11/2019,Australia,Medium
43,97.6,4196.8,9/12/2019,France,Medium
30,87.06,2611.8,7/1/2020,USA,Small
35,168.43,5895.05,9/2/2020,Finland,Medium
36,93.77,3375.72,4/3/2020,USA,Medium
61,137.29,8374.69,15/04/2020,Denmark,Large
38,117.48,4464.24,17/05/2020,Austria,Medium
39,123.29,4808.31,10/1/2018,USA,Medium
32,101.71,3254.72,21/05/2018,Australia,Medium
31,102.74,3184.94,16/07/2018,Australia,Medium
50,118.15,5907.5,12/9/2018,USA,Medium
43,117.12,5036.16,5/11/2018,Italy,Medium
25,87.33,2183.25,12/11/2018,USA,Small
28,110.96,3106.88,21/11/2018,Australia,Medium
36,103.77,3735.72,3/12/2018,Spain,Medium
,89.38,2413.26,29/01/2019,USA,Small
25,118.15,2953.75,2/3/2019,France,Small
40,117.12,4684.8,29/04/2019,Spain,Medium
34,95.55,3248.7,8/6/2019,Denmark,Medium
50,104.79,5239.5,17/08/2019,Italy,Medium
38,120.21,4567.98,3/9/2019,Norway,Medium
37,95.55,3535.35,11/10/2019,France,Medium
43,89.38,3843.34,21/10/2019,USA,Medium
43,86.3,3710.9,4/11/2019,USA,Medium
46,95.13,4375.98,17/11/2019,UK,Medium
42,36.11,1516.62,29/11/2019,USA,Small
50,50.18,2509,9/12/2019,France,Small
44,210.01,9240.44,20/01/2020,USA,Large
27,93.16,2515.32,16/02/2020,Spain,Small
35,158.54,5548.9,9/3/2020,Australia,Medium
51,95.55,4873.05,30/05/2020,USA,Medium
41,50.14,2055.74,10/1/2018,USA,Small
42,54.99,2309.58,,Spain,Small
49,43.13,2113.37,16/07/2018,Australia,Small
30,58.22,1746.6,12/9/2018,USA,Small
48,44.21,2122.08,5/11/2018,Italy,Small
32,54.45,1742.4,12/11/2018,USA,Small
46,53.37,2455.02,21/11/2018,Australia,Small
48,63.61,3053.28,3/12/2018,Spain,Medium
33,43.13,1423.29,29/01/2019,,Small
31,48.52,1504.12,2/3/2019,France,Small
20,58.22,1164.4,29/04/2019,Spain,Small
29,51.75,1500.75,8/6/2019,Denmark,Small
27,57.68,1557.36,17/08/2019,Italy,Small
24,56.07,1345.68,3/9/2019,Norway,Small
37,48.52,1795.24,11/10/2019,France,Small
25,44.21,1105.25,21/10/2019,USA,Small
41,57.68,2364.88,4/11/2019,USA,Small
27,89.89,2427.03,17/11/2019,UK,Small
21,58.95,1237.95,,Australia,Small
22,72.41,1593.02,9/12/2019,France,Small
32,98.63,3156.16,20/01/2020,USA,Medium
42,119,4998,9/3/2020,Australia,Medium
25,51.75,1293.75,30/05/2020,USA,Small
37,146.84,5433.08,18/03/2018,UK,Medium
26,118.22,3073.72,20/05/2018,France,Medium
44,99.55,4380.2,10/7/2018,France,Medium
47,124.44,5848.68,11/9/2018,Australia,Medium
43,143.11,6153.73,17/10/2018,Denmark,Medium
42,118.22,4965.24,5/11/2018,USA,Medium
42,129.42,5435.64,12/11/2018,Norway,Medium
29,146.84,4258.36,20/11/2018,USA,Medium
40,100.8,4032,2/12/2018,USA,Medium
38,118.22,4492.36,16/01/2019,Spain,Medium
38,,4161.38,26/02/2019,USA,Medium
21,119.46,2508.66,13/04/2019,France,Small
24,140.62,3374.88,1/6/2019,UK,Medium
36,144.35,5196.6,6/7/2019,Italy,Medium
23,113.24,2604.52,6/8/2019,USA,Small
20,146.84,2936.8,1/9/2019,Singapore,Small
32,107.02,3424.64,5/10/2018,Norway,Medium
29,100.8,2923.2,16/10/2019,Spain,Small
44,102.04,4489.76,4/11/2019,USA,Medium
44,110.21,4849.24,17/11/2019,USA,Medium
36,162.47,5848.92,24/11/2019,France,Medium
49,56.3,2758.7,12/1/2020,USA,Small
34,42.64,1449.76,10/2/2020,Spain,Small
59,119.46,7048.14,22/04/2020,USA,Large
37,140.62,5202.94,17/05/2020,Austria,Medium
36,146.65,5279.4,17/02/2018,Italy,Medium
43,160.84,6916.12,28/04/2018,Austria,Medium
21,132.46,2781.66,16/06/2018,,Small
32,164,5248,10/8/2018,USA,Medium
38,171.88,6531.44,6/10/2018,Finland,Medium
43,134.04,5763.72,23/10/2018,Sweden,Medium
42,154.54,6490.68,8/11/2018,France,Medium
32,187.65,6004.8,14/11/2018,UK,Medium
42,178.19,7483.98,27/11/2018,Philippines,Large
31,184.5,5719.5,12/1/2019,Japan,Medium
49,141.92,6954.08,19/02/2019,USA,Medium
45,181.34,8160.3,11/5/2019,USA,Large
49,134.04,6567.96,24/06/2019,Spain,Medium
41,164,6724,21/07/2019,USA,Medium
45,127.73,5747.85,21/08/2019,Norway,Medium
36,157.69,5676.84,15/09/2019,Germany,Medium
39,189.23,7379.97,14/10/2019,USA,Large
27,137.19,3704.13,1/11/2019,UK,Medium
25,112.19,2804.75,10/11/2019,Denmark,Small
41,137.19,5624.79,22/11/2019,Belgium,Medium
39,99.52,3881.28,3/12/2019,UK,Medium
28,57.55,1611.4,31/01/2020,Finland,Small
25,54.57,1364.25,1/3/2020,Spain,Small
33,127.73,4215.09,30/03/2020,France,Medium
34,189.23,6433.82,1/4/2020,USA,Medium
24,181.34,4352.16,10/5/2020,Italy,Medium
30,171.7,5151,6/1/2018,USA,Medium
42,144.5,6069,18/03/2018,UK,Medium
21,136,2856,21/05/2018,USA,Small
34,158.1,5375.4,12/9/2018,USA,Medium
24,146.2,3508.8,5/11/2018,Italy,Medium
44,171.7,7554.8,12/11/2018,USA,Large
21,149.6,3141.6,21/11/2018,Australia,Medium
33,178.5,5890.5,2/12/2018,USA,Medium
30,198.9,5967,26/01/2019,Spain,Medium
26,142.8,3712.8,2/3/2019,France,Medium
41,185.3,7597.3,13/04/2019,France,Large
